Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Maurice Joseph,George Washington,A-10,,20,15,0.571,,,,,2016-17,20,15,0.571,,,,,,20,15,0.571,,,,
Edward Joyner Jr,Hampton,MEAC,,14,17,0.452,,,,,2009-10,134,124,0.519,3.0,,,,,134,124,0.519,3.0,,,
Jay Joyner,North Carolina A&T,MEAC,,3,29,0.094,,,,,2015-16,8,34,0.19,,,,,,8,34,0.19,,,,
Greg Kampe,Oakland,Horizon,,25,9,0.735,,,,,1999-00,319,262,0.549,3.0,,,,,319,262,0.549,3.0,,,
Danny Kaspar,Texas State,Sun Belt,,22,14,0.611,,,,,2013-14,59,70,0.457,,,,,,305,211,0.591,1.0,,,
Brian Katz,Sacramento State,Big Sky,,13,18,0.419,,,,,2008-09,104,165,0.387,,,,,,104,165,0.387,,,,
Kevin Keatts,UNC Wilmington,CAA,,29,6,0.829,,,Lost First Round,,2014-15,72,28,0.72,2.0,,,,,72,28,0.72,2.0,,,
Kyle Keller *,Stephen F. Austin,Southland,,18,15,0.545,,,,,2016-17,18,15,0.545,,,,,,18,15,0.545,,,,
Derek Kellogg,Massachusetts,A-10,,15,18,0.455,,,,,2008-09,155,137,0.531,1.0,,,,,155,137,0.531,1.0,,,
Pat Kelsey,Winthrop,Big South,,26,7,0.788,,,Lost First Round,,2012-13,102,59,0.634,1.0,,,,,102,59,0.634,1.0,,,
Andy Kennedy,Mississippi,SEC,,22,14,0.611,,,,,2006-07,234,140,0.626,2.0,,,,,255,153,0.625,2.0,,,
Billy Kennedy,Texas A&M,SEC,,16,15,0.516,,,,,2011-12,115,85,0.575,1.0,1.0,,,,326,264,0.553,3.0,1.0,,
Brian Kennedy,NJIT,A-Sun,,11,20,0.355,,,,,2016-17,11,20,0.355,,,,,,11,20,0.355,,,,
Ernie Kent,Washington State,Pac-12,,13,18,0.419,,,,,2014-15,35,58,0.376,,,,,,360,311,0.537,6.0,2.0,,
Eric Konkol,Louisiana Tech,CUSA,,23,10,0.697,,,,,2015-16,46,20,0.697,,,,,,46,20,0.697,,,,
Tod Kowalczyk,Toledo,MAC,,17,17,0.5,,,,,2010-11,119,110,0.52,,,,,,255,222,0.535,,,,
Rob Krimmel,Saint Francis (PA),NEC,,17,17,0.5,,,,,2012-13,61,95,0.391,,,,,,61,95,0.391,,,,
Lon Kruger,Oklahoma,Big 12,,11,20,0.355,,,,,2011-12,122,77,0.613,4.0,2.0,1.0,,,601,381,0.612,17.0,5.0,2.0,
Larry Krystkowiak,Utah,Pac-12,,20,12,0.625,,,,,2011-12,115,85,0.575,2.0,1.0,,,,157,105,0.599,4.0,1.0,,
Mike Krzyzewski,Duke,ACC,,28,9,0.757,1.0,7.0,Lost Second Round,,1980-81,998,271,0.786,33.0,23.0,12.0,5.0,,1071,330,0.764,33.0,23.0,12.0,5.0
Jay Ladner,Southeastern Louisiana,Southland,,16,16,0.5,,,,,2014-15,37,60,0.381,,,,,,37,60,0.381,,,,
Matt Langel,Colgate,Patriot,,10,22,0.312,,,,,2011-12,71,117,0.378,,,,,,71,117,0.378,,,,
Greg Lansing,Indiana State,MVC,,11,20,0.355,,,,,2010-11,120,108,0.526,1.0,,,,,120,108,0.526,1.0,,,
Jim Larranaga,Miami (FL),ACC,,21,12,0.636,,,Lost First Round,,2011-12,139,69,0.668,3.0,2.0,,,,581,378,0.606,8.0,3.0,1.0,
Anthony Latina,Sacred Heart,NEC,,13,19,0.406,,,,,2013-14,45,80,0.36,,,,,,45,80,0.36,,,,
