Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
113,Holy Cross,20,5,15,.250,-18.08,-6.55,,2,5,,2,5,,2,9,,1333,1524,,65.8,100.7,.237,.382,.527,47.5,45.9,6.1,8.5,.510,15.8,25.6,.154
114,Houston,19,17,2,.895,28.25,6.20,,4,2,,11,0,,2,2,,1405,986,,64.1,115.4,.299,.359,.528,55.3,49.9,16.2,19.6,.503,11.5,39.8,.202
115,Houston Christian,17,5,12,.294,-15.11,0.82,,3,3,,4,3,,1,9,,1218,1385,,75.2,94.6,.336,.256,.498,50.5,45.0,8.7,7.8,.472,19.0,31.8,.211
116,Howard,20,8,12,.400,-7.56,-3.56,,2,2,,5,3,,3,7,,1504,1531,,69.9,105.0,.393,.390,.567,51.0,53.2,8.7,6.9,.528,19.3,31.9,.290
117,Idaho,19,7,12,.368,-10.63,-3.27,,1,5,,5,6,,1,6,,1313,1348,,66.7,102.9,.292,.419,.530,48.9,50.9,9.1,10.7,.500,14.4,25.2,.208
118,Idaho State,20,7,13,.350,-9.22,-3.38,,2,5,,5,3,,2,9,,1364,1379,,64.8,104.6,.286,.365,.540,50.3,47.7,10.9,10.1,.515,15.5,29.7,.197
119,Illinois,19,14,5,.737,19.81,6.08,,5,3,,10,2,,2,3,,1572,1311,,70.9,116.0,.343,.392,.565,56.3,45.2,6.6,9.0,.533,13.5,37.0,.248
120,Illinois State,20,10,10,.500,-2.94,-0.31,,4,5,,7,4,,2,4,,1339,1370,,67.0,99.9,.378,.391,.506,51.2,52.1,8.7,6.5,.467,14.9,29.2,.260
121,Illinois-Chicago,20,8,12,.400,0.06,0.32,,1,8,,4,6,,2,5,,1402,1356,,68.1,102.9,.237,.417,.546,48.8,57.3,7.7,15.3,.531,15.6,24.5,.153
122,Incarnate Word,18,5,13,.278,-14.35,-5.10,,0,5,,3,4,,2,8,,1316,1414,,72.4,100.2,.363,.414,.543,48.8,49.3,9.4,10.5,.501,19.4,28.7,.271
123,Indiana,19,12,7,.632,6.85,6.96,,4,4,,10,2,,1,3,,1409,1411,,70.3,105.5,.408,.275,.554,49.6,56.1,8.5,11.0,.526,15.4,27.1,.271
124,Indiana State,20,17,3,.850,13.85,0.85,,8,1,,8,0,,5,3,,1718,1441,,72.0,119.3,.362,.504,.645,52.0,60.8,9.2,4.5,.615,15.7,24.1,.281
125,Iona,19,9,10,.474,-1.92,-3.92,,4,4,,5,3,,3,4,,1374,1336,,68.6,105.4,.289,.387,.525,47.7,54.9,13.7,10.3,.502,13.4,29.4,.190
126,Iowa,19,11,8,.579,14.65,6.91,,3,5,,8,3,,1,4,,1617,1470,,74.5,114.2,.314,.307,.565,49.9,61.3,10.7,8.9,.530,11.8,28.8,.238
127,Iowa State,19,15,4,.789,22.72,3.24,,4,2,,12,0,,2,2,,1530,1160,,69.7,115.5,.404,.314,.570,53.3,60.7,16.2,10.6,.539,13.6,33.6,.283
128,IUPUI,22,6,16,.273,-19.54,-4.01,,2,9,,4,7,,2,7,,1453,1710,,68.4,96.0,.334,.265,.515,47.8,42.2,11.2,5.4,.474,18.2,30.4,.247
