Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
168,McNeese State,33,30,3,.909,7.15,-7.26,,17,1,,18,0,,11,3,,2654,2030,,67.5,91.1,.318,.485,.499,47.4,58.4,6.9,8.3,.461,21.1,29.9,.226
169,Memphis,32,22,10,.688,9.23,4.48,,11,7,,13,2,,7,6,,2576,2424,,72.0,104.4,.296,.427,.531,49.7,53.3,9.9,11.6,.500,16.3,33.6,.212
170,Mercer,33,16,17,.485,-4.51,-2.41,,8,10,,10,6,,4,9,,2348,2371,,67.5,106.4,.394,.362,.547,50.5,45.0,9.4,7.4,.507,15.7,31.0,.285
171,Merrimack,33,21,12,.636,-5.13,-8.33,,13,3,,13,2,,7,9,,2283,2159,,68.6,94.6,.311,.316,.502,54.8,56.4,10.0,10.0,.467,20.0,34.4,.218
172,Miami (FL),32,15,17,.469,9.53,7.41,,6,14,,11,6,,2,9,,2424,2356,,69.9,104.9,.223,.460,.533,49.4,57.4,10.2,9.4,.510,14.4,28.6,.159
173,Miami (OH),32,15,17,.469,-6.21,-3.84,,9,9,,9,6,,6,10,,2259,2241,,68.5,101.8,.315,.365,.521,52.4,47.3,9.4,9.9,.485,15.7,29.6,.229
174,Michigan,32,8,24,.250,5.58,11.64,,3,17,,5,10,,2,10,,2334,2528,,68.9,113.3,.305,.326,.555,49.6,46.4,11.0,10.6,.525,11.9,30.4,.222
175,Michigan State,33,19,14,.576,17.89,10.71,,10,10,,14,4,,3,7,,2413,2176,,66.4,98.9,.326,.413,.516,49.4,54.9,7.8,7.7,.480,16.4,28.8,.233
176,Middle Tennessee,33,14,19,.424,-7.23,-0.30,,7,9,,11,6,,1,10,,2167,2319,,66.8,103.3,.295,.303,.523,51.0,43.0,9.6,10.5,.489,14.2,30.6,.214
177,Milwaukee,35,20,15,.571,-4.78,-4.23,,12,8,,12,4,,6,9,,2782,2753,,70.9,109.0,.330,.381,.542,48.0,56.1,9.7,11.1,.504,13.7,31.7,.247
178,Minnesota,32,18,14,.563,9.90,6.24,,9,11,,16,4,,2,8,,2413,2296,,67.7,105.6,.299,.297,.534,48.5,56.3,10.6,9.1,.501,13.9,29.1,.216
179,Mississippi,32,20,12,.625,8.57,7.53,,7,11,,14,4,,4,7,,2398,2365,,68.6,107.8,.323,.370,.535,52.5,55.4,9.6,8.0,.502,15.3,36.2,.230
180,Mississippi State,34,21,13,.618,14.93,9.23,,8,10,,11,4,,2,8,,2542,2348,,68.9,99.9,.324,.411,.519,45.9,48.5,10.6,10.6,.477,15.9,27.5,.243
181,Mississippi Valley State,31,1,30,.032,-26.16,-3.90,,1,17,,1,8,,0,22,,1719,2409,,66.2,116.8,.416,.365,.588,54.9,54.1,13.2,8.7,.556,14.7,35.7,.297
182,Missouri,32,8,24,.250,3.50,7.53,,0,18,,6,11,,2,10,,2309,2438,,68.4,110.9,.424,.398,.558,54.5,52.8,9.4,9.7,.513,15.8,35.7,.314
183,Missouri State,33,17,16,.515,1.12,1.15,,8,12,,9,5,,4,10,,2351,2352,,68.4,102.7,.249,.388,.509,46.7,49.8,9.4,8.8,.480,11.5,24.7,.179
184,Monmouth,33,18,15,.545,-3.00,-2.82,,10,8,,13,1,,2,13,,2390,2396,,68.1,106.7,.333,.432,.539,51.1,56.2,8.2,9.9,.500,15.3,32.3,.248
185,Montana,34,23,11,.676,-0.48,-3.67,,12,6,,13,3,,8,7,,2625,2433,,67.3,105.9,.344,.317,.537,48.7,43.3,8.2,8.4,.500,12.8,25.4,.250
186,Montana State,34,17,17,.500,-4.58,-3.90,,9,9,,10,7,,4,10,,2554,2518,,69.9,104.8,.359,.347,.556,53.4,46.7,8.4,7.4,.523,17.0,28.1,.255
187,Morehead State,34,26,8,.765,0.69,-6.08,,14,4,,14,1,,9,7,,2566,2135,,66.3,94.8,.295,.328,.481,43.6,40.6,9.0,7.7,.437,13.9,25.2,.222
188,Morgan State,31,11,20,.355,-15.89,-5.72,,7,7,,8,5,,3,12,,2253,2402,,71.7,107.3,.384,.322,.534,51.3,47.9,11.3,8.4,.500,15.1,35.2,.263
189,Mount St. Mary's,32,13,19,.406,-6.31,-7.22,,9,11,,8,5,,5,13,,2327,2298,,69.3,102.4,.303,.348,.532,48.0,49.6,12.7,7.4,.493,15.7,27.9,.229
